"network","Descrição","Seção"
"10.146.0.0/24","RII - COMUM SEGREGADA - Aplicação","Clientes (Clientes)"
"10.146.1.0/24","RII - COMUM SEGREGADA - Serviços de Rede","Clientes (Clientes)"
"10.148.0.0/24","RI - COMUM SEGREGADA - Banco","Clientes (Clientes)"
"200.152.45.0/24","RIE - COMUM SEGREGADA - Vips Publicos","Clientes (Clientes)"
"10.144.24.0/24","RIE - PIQL PRODUÇÃO - Apresentação","Clientes (Clientes)"
"10.144.25.0/24","RIE - PIQL PRODUÇÃO - Apresentação 2","Clientes (Clientes)"
"10.144.26.0/24","RIE - PIQL PRODUÇÃO - Apresentação 3","Clientes (Clientes)"
"10.146.24.0/24","RII - PIQL PRODUÇÂO - Aplicação","Clientes (Clientes)"
"10.146.25.0/24","RII - PIQL PRODUÇÂO - Apresentação","Clientes (Clientes)"
"10.146.26.0/24","RII - PIQL PRODUÇÂO - Aplicação 2","Clientes (Clientes)"
"10.146.27.0/24","Vips - RII - PIQL PRODUÇÃO","Clientes (Clientes)"
"10.148.24.0/24","RI - PIQL PRODUÇÂO - Banco","Clientes (Clientes)"
"10.144.28.0/24","RIE - PIQL HOMOLOGAÇÃO - Apresentação","Clientes (Clientes)"
"10.146.28.0/24","RII - PIQL HOMOLOGAÇÃO - Aplicação","Clientes (Clientes)"
"10.146.29.0/24","RII - PIQL HOMOLOGAÇÃO - Apresentação","Clientes (Clientes)"
"10.146.31.0/24","Vips - RII - PIQL HOMOLOGAÇÃO","Clientes (Clientes)"
"10.148.28.0/24","RI - PIQL HOMOLOGAÇÃO - Banco","Clientes (Clientes)"
"10.31.11.0/24","RII - COMUM LEGADA - Desenvolvimento","Clientes (Clientes)"
"10.31.44.0/24","RII - COMUM LEGADA - Desenvolvimento 2","Clientes (Clientes)"
"10.144.108.0/24","RIE - ANVISA - Apresentação","Clientes (Clientes)"
"10.144.109.0/24","RIE - ANVISA - Apresentação 2","Clientes (Clientes)"
"10.146.108.0/24","RII - ANVISA - Aplicação","Clientes (Clientes)"
"10.146.109.0/24","RII - ANVISA - Apresentação","Clientes (Clientes)"
"10.146.110.0/24","RII - ANVISA - Aplicação 2","Clientes (Clientes)"
"10.146.111.0/24","Vips - RII - ANVISA","Clientes (Clientes)"
"10.148.108.0/24","RI - ANVISA - Banco","Clientes (Clientes)"
"10.148.100.0/24","RI - MPS - Banco","Clientes (Clientes)"
"10.144.100.0/24","RIE - MPS - Apresentação","Clientes (Clientes)"
"10.146.101.0/24","RII - MPS - Apresentação","Clientes (Clientes)"
"10.146.100.0/24","RII - MPS - Aplicação","Clientes (Clientes)"
"10.146.103.0/24","Vips - RII - MPS","Clientes (Clientes)"
"10.147.0.0/24","RII - REDE SEGURA PRODUÇÃO","Clientes (Clientes)"
"10.147.2.0/23","RII - REDE SEGURA HOMOLOGAÇÃO","Clientes (Clientes)"
"10.144.112.0/24","RIE - MPA - Apresentação","Clientes (Clientes)"
"10.144.113.0/24","RIE - MPA - Apresentação 2","Clientes (Clientes)"
"10.146.112.0/24","RII - MPA - Aplicação","Clientes (Clientes)"
"10.146.113.0/24","RII - MPA - Apresentação","Clientes (Clientes)"
"10.146.114.0/24","RII - MPA - Aplicação 2","Clientes (Clientes)"
"10.146.115.0/24","Vips - RII - MPA","Clientes (Clientes)"
"10.148.112.0/24","RI - MPA - Banco","Clientes (Clientes)"
"10.144.96.0/24","RIE - RFFSA - Apresentação","Clientes (Clientes)"
"10.146.96.0/24","RII - RFFSA - Aplicação","Clientes (Clientes)"
"10.146.97.0/24","RII - RFFSA - Apresentação","Clientes (Clientes)"
"10.148.96.0/24","RI - RFFSA - Banco","Clientes (Clientes)"
"10.146.99.0/24","Vips - RII - RFFSA","Clientes (Clientes)"
"10.151.70.0/24","RIE - COMUM SEGREGADA - Gerência Firewalls","Clientes (Clientes)"
"200.152.47.0/25","RIE - CLOUD GOV 2 - Vip externo","Clientes (Clientes)"
"200.145.47.128/25","Vips - RIE - CLOUD OURO","Clientes (Clientes)"
"10.168.0.0/19","Vips - RII - CLOUD OURO","Clientes (Clientes)"
"10.168.128.0/23","RIE - CLOUD OURO - VxLan","Clientes (Clientes)"
"10.144.128.0/24","RIE - CLOUD GOV - Gerência","Clientes (Clientes)"
"10.144.129.0/24","RIE - CLOUD GOV - Replicação","Clientes (Clientes)"
"10.144.130.0/24","RIE - CLOUD GOV - Replicação 2","Clientes (Clientes)"
"10.144.132.0/22","RIE - CLOUD GOV - Vmotion","Clientes (Clientes)"
"10.144.136.0/22","RIE - CLOUD GOV - Vxlan Gerência","Clientes (Clientes)"
"10.144.140.0/22","RIE - CLOUD GOV - Vxlan Recursos","Clientes (Clientes)"
"10.144.144.0/24","RIE - CLOUD GOV - Vxlan VCD","Clientes (Clientes)"
"10.144.64.0/22","RIE - CLOUD - 1 - Vip Interno","Clientes (Clientes)"
"10.144.88.0/21","RIE - CLOUD - 1 - Vxlan","Clientes (Clientes)"
"10.144.68.0/24","RIE - CLOUD - 1 - Reserva","Clientes (Clientes)"
"10.146.64.0/21","RII - CLOUD - 1 - Vmotion","Clientes (Clientes)"
"10.146.72.0/21","RII - CLOUD - 1 - Fault Tolerance","Clientes (Clientes)"
"10.146.80.0/20","RII - CLOUD - 1 - Vsphere Replication","Clientes (Clientes)"
"200.152.46.0/24","RIE - CLOUD - 1 - Endereços Publicos","Clientes (Clientes)"
"10.148.64.0/19","RI - CLOUD - 1 - Gerencia das VMs e Hospedeiros","Clientes (Clientes)"
"10.31.220.0/24","Vips - RII - COMUM LEGADA","Clientes (Clientes)"
"10.31.68.0/24","RIE - COMUM LEGADA - Homologação Apresentação","Clientes (Clientes)"
"10.31.69.0/24","RIE - COMUM LEGADA - Homologação Aplicação","Clientes (Clientes)"
"10.31.70.0/24","RIE - COMUM LEGADA - Desenvolvimento Apresentação","Clientes (Clientes)"
"10.31.71.0/24","RIE - COMUM LEGADA - Desenvolvimento Aplicação","Clientes (Clientes)"
"10.16.35.0/24","RI - COMUM LEGADA - Banco","Clientes (Clientes)"
"10.31.222.0/24","Vips - RII - MTE - Legada","Clientes (Clientes)"
"10.31.64.0/24","RI - MTE - Banco - Legada","Clientes (Clientes)"
"10.31.6.0/24","RII - MTE - Ldap - Legada","Clientes (Clientes)"
"10.31.0.0/24","RII - MTE - Aplicação - Legada","Clientes (Clientes)"
"10.31.1.0/24","RII - MTE - SAA - Legada","Clientes (Clientes)"
"10.31.10.0/24","RI - MTE - BI SIGMA - Legada","Clientes (Clientes)"
"10.31.13.0/24","RI - MTE - Banco - Homologação Legada","Clientes (Clientes)"
"10.31.16.0/24","RI - COMUM LEGADA - Recovery Point","Clientes (Clientes)"
"10.16.4.0/23","ACESSO - DATAPREV - Estações DCSP Legada","Clientes (Clientes)"
"10.16.6.0/23","ACESSO - DATAPREV - Estações URSP Legada","Clientes (Clientes)"
"10.16.24.0/24","RII - COMUM LEGADA - Banco SAA","Clientes (Clientes)"
"10.16.28.0/24","RI - COMUM LEGADA - Banco SAA Homologação","Clientes (Clientes)"
"10.16.25.0/24","RII - COMUM LEGADA - Aplicação SAA","Clientes (Clientes)"
"10.16.26.0/24","RII - COMUM LEGADA - Apresentação SAA","Clientes (Clientes)"
"10.16.20.0/24","RI - COMUM LEGADA - Gerência","Clientes (Clientes)"
"10.16.21.0/24","RII - COMUM LEGADA - Aplicação","Clientes (Clientes)"
"10.16.29.0/24","RII - COMUM LEGADA - Banco Desenvolvimento SAA","Clientes (Clientes)"
"10.16.38.0/24","RI - COMUM LEGADA - Banco Homologação","Clientes (Clientes)"
"10.16.0.0/23","RII - COMUM LEGADA - Rede de Servidores","Clientes (Clientes)"
"10.16.2.0/23","RI - COMUM LEGADA - MV2/SABI","Clientes (Clientes)"
"10.16.15.0/24","RII - INSS - Prisma Acesso Legada","Clientes (Clientes)"
"10.16.16.0/24","RII - INSS - Prisma Backup Legada","Clientes (Clientes)"
"10.16.9.208/28","RII - COMUM LEGADA - LDAP-Prevnet-Samba","Clientes (Clientes)"
"10.16.11.0/24","RII - COMUM LEGADA - LDAP-Prevnet","Clientes (Clientes)"
"10.16.18.0/23","RII - COMUM LEGADA - Apresentação","Clientes (Clientes)"
"10.16.31.0/26","RII - COMUM LEGADA - Apresentação Contingência WEB","Clientes (Clientes)"
"10.16.41.0/24","REDE DE PASSAGEM - LEGADA - Estações de Trabalho","Clientes (Clientes)"
"10.151.16.0/28","RIE - ANTIGA REDE DE PASSAGEM - SEGREGADA - RFB","Clientes (Clientes)"
"10.151.16.16/28","RIE - ANTIGA REDE DE PASSAGEM - SEGREGADA - MTE","Clientes (Clientes)"
"10.151.16.32/28","RIE - ANTIGA REDE DE PASSAGEM - SEGREGADA - INSS","Clientes (Clientes)"
"10.16.10.16/28","REDE DE PASSAGEM - LEGADA - IPS Interno","Clientes (Clientes)"
"10.16.40.0/24","REDE DE PASSAGEM - LEGADA - Entidades Externas","Clientes (Clientes)"
"10.151.20.0/22","RIE - COMUM SEGREGADA - Gerência switches","Clientes (Clientes)"
"10.151.24.0/22","RIE - COMUM SEGREGADA - Gerência servidores","Clientes (Clientes)"
"10.16.13.0/28","REDE DE PASSAGEM - LEGADA - Firewall Externo","Clientes (Clientes)"
"10.16.17.0/24","RII - COMUM LEGADA - Gerência Equipamentos de Rede","Clientes (Clientes)"
"10.16.32.0/24","RII - COMUM LEGADA - Apresentação Migração Unisys","Clientes (Clientes)"
"10.16.33.0/24","RII - COMUM LEGADA - Aplicação Migração Unisys","Clientes (Clientes)"
"10.16.34.0/24","RII - COMUM LEGADA - Gerência Migração Unisys","Clientes (Clientes)"
"10.16.39.0/24","RI - COMUM LEGADA - Gerência Segurança","Clientes (Clientes)"
"10.16.36.0/24","RI - COMUM LEGADA - Gerência Equipamentos de Rede","Clientes (Clientes)"
"10.16.37.0/24","ACESSO - DATAPREV - Videoconferência e VoIP","Clientes (Clientes)"
"10.151.64.0/23","OOB - COMUM SEGREGADA - Gerência OOB Rede apartada","Clientes (Clientes)"
"172.28.8.0/24","RII - COMUM LEGADA - Gerência Tape Library Oracle Robótica MV2","Clientes (Clientes)"
"10.151.46.48/28","RIE - REDE DE PASSAGEM - SEGREGADA - DEFAULT","Clientes (Clientes)"
"10.16.12.0/24","RII - COMUM LEGADA - Monitoracao NSM-CA","Clientes (Clientes)"
"10.16.30.0/25","RII - COMUM LEGADA - Filtro Para a internet DCSP","Clientes (Clientes)"
"10.16.42.0/23","RII - COMUM LEGADA - Apresentação","Clientes (Clientes)"
"10.16.44.0/24","ACESSO - DATAPREV - Estações DCSP Legada","Clientes (Clientes)"
"10.16.8.0/28","REDE DE PASSAGEM - LEGADA - Dswspmv300 Firewall Interno","Clientes (Clientes)"
"10.16.9.16/28","RII - COMUM LEGADA - Serviços de Rede (Serviço TACACS e Radius)","Clientes (Clientes)"
"10.16.13.16/28","RII - COMUM LEGADA - Serviços de Rede (Serviço DNS em Cluster)","Clientes (Clientes)"
"10.16.31.64/26","RII - COMUM LEGADA - Aplicação Contigência WEBLogic JMS","Clientes (Clientes)"
"10.16.31.128/26","RII - COMUM LEGADA - Aplicação Contigência CNIS","Clientes (Clientes)"
"10.16.31.192/26","RII - COMUM LEGADA - Serviços Contigência APL","Clientes (Clientes)"
"10.16.48.0/24","Rede Loopback EE","Circuitos (Circuitos - Agências)"
"10.148.224.0/24","Gerência","Clientes (Clientes)"
"10.148.225.0/24","vMotion ","Clientes (Clientes)"
"10.146.116.0/24","RII - SOC - Aplicação","Clientes (Clientes)"
"10.144.116.0/24","RII - SOC - Apresentação","Clientes (Clientes)"
"10.148.116.0/24","RI - SOC - Banco","Clientes (Clientes)"
"10.192.0.0/13","DCV GER Dados","Clientes (Clientes)"
"10.146.120.0/24","RII - MKP - Aplicação","Clientes (Clientes)"
"10.31.48.0/20","RII - COMUM LEGADA - Backup 3","Clientes (Clientes)"
"10.31.80.0/20","RI - COMUM LEGADA - Backup 2","Clientes (Clientes)"
"10.146.121.0/24","RII - MKP - Apresentação","Clientes (Clientes)"
"10.144.176.0/21","RIE -CLOUD GOV 2 - Vip interno","Clientes (Clientes)"
"10.151.52.0/22","Gerencia Servidor ILO e/ou IDRAC ","Clientes (Clientes)"
"10.253.0.0/17","VPN DATAPREV SP","Clientes (Clientes)"
"10.31.20.0/22","RII-COMUM LEGADA-Homologação","Clientes (Clientes)"
